[2023-02-14 15:09:46.875] [pxr_streamer] [info] ***********  Log Begin **********
[2023-02-14 15:09:46.875] [pxr_streamer] [info] process id= 21708
[2023-02-14 15:09:46.875] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x96f761f0
[2023-02-14 15:09:46.875] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x96f761f0
[2023-02-14 15:09:46.875] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x96f761f0
[2023-02-14 15:09:49.904] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x96f761f0
[2023-02-14 15:09:52.947] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x96f761f0
[2023-02-14 15:09:55.988] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x96f761f0
[2023-02-14 15:09:59.028] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x96f761f0
[2023-02-14 15:10:02.085] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x96f761f0
[2023-02-14 15:10:05.129] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x96f761f0
[2023-02-14 15:10:08.169] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x96f761f0
[2023-02-14 15:10:11.209] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x96f761f0
