[2023-04-14 15:11:49.211] [pxr_streamer] [info] ***********  Log Begin **********
[2023-04-14 15:11:49.211] [pxr_streamer] [info] process id= 34452
[2023-04-14 15:11:49.211] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63b7560
[2023-04-14 15:11:49.214] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xb63b7560
[2023-04-14 15:11:49.214] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xb63b7560
[2023-04-14 15:11:52.257] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63b7560
[2023-04-14 15:11:55.273] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63b7560
[2023-04-14 15:11:58.292] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63b7560
[2023-04-14 15:12:01.326] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63b7560
[2023-04-14 15:12:04.380] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63b7560
[2023-04-14 15:12:07.417] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63b7560
[2023-04-14 15:12:10.456] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63b7560
[2023-04-14 15:12:13.505] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63b7560
[2023-04-14 15:12:13.760] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63c3420
[2023-04-14 15:12:13.760] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xb63c3420
[2023-04-14 15:12:13.760] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xb63c3420
[2023-04-14 15:12:16.557] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63b7560
[2023-04-14 15:12:16.813] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0xb63c3420
