[2023-02-23 15:51:44.731] [pxr_streamer] [info] ***********  Log Begin **********
[2023-02-23 15:51:44.731] [pxr_streamer] [info] process id= 5456
[2023-02-23 15:51:44.731] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:51:44.733] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x1cc28230
[2023-02-23 15:51:44.733] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x1cc28230
[2023-02-23 15:51:47.748] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:51:50.779] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:51:53.808] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:51:56.848] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:51:59.866] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:02.894] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:05.918] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:08.963] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:11.991] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:15.013] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:18.027] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:21.072] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:24.106] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:27.135] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:30.152] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:33.195] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:36.529] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:39.544] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:42.584] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
[2023-02-23 15:52:45.622] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다., this = 0x1cc28230
